
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur France5

"Partis politiques";"Total période (durée)"
Horizons;00:04:27
"La France insoumise";00:07:49
"Les Ecologistes";00:35:42
"Les Républicains";00:52:09
"Mouvement démocrate";00:00:09
"Parti communiste français";00:15:12
"Parti socialiste";00:04:48
"Place publique";00:08:00
"Rassemblement national";00:20:43
Reconquête;00:02:10
Renaissance;01:15:44
"Total des temps de parole";03:46:53

"Président de la République";"Total période (durée)"
"Temps de parole";00:22:48
