
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur RadioClassique

"Partis politiques";"Total période (durée)"
"Divers Gauche";00:00:37
Horizons;00:01:54
"La France insoumise";00:00:24
"Les Ecologistes";00:00:05
"Les Républicains";00:01:44
"Parti communiste français";00:00:28
"Parti socialiste";00:00:08
"Place publique";00:00:32
"Rassemblement national";00:02:40
Reconquête;00:00:25
Renaissance;00:00:40
"Total des temps de parole";00:09:37

