
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur M6

"Partis politiques";"Total période (durée)"
Horizons;00:02:17
"La France insoumise";00:01:24
"Les Ecologistes";00:01:29
"Les Républicains";00:05:04
"Parti communiste français";00:00:41
"Parti socialiste";00:01:00
"Rassemblement national";00:03:46
Reconquête;00:00:35
Renaissance;00:02:18
"Total des temps de parole";00:18:34

"Président de la République";"Total période (durée)"
"Temps de parole";00:00:52
