
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur France2

"Partis politiques";"Total période (durée)"
Horizons;00:00:36
"La France insoumise";00:12:34
"Les Ecologistes";00:10:20
"Les Républicains";00:30:48
"Mouvement démocrate";00:00:10
"Parti communiste français";00:09:48
"Parti socialiste";00:04:18
"Place publique";00:00:58
"Rassemblement national";00:22:46
Reconquête;00:01:37
Renaissance;00:13:54
"Total des temps de parole";01:47:49

"Président de la République";"Total période (durée)"
"Temps de parole";01:25:55
