
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur TV5 Monde

"Partis politiques";"Total période (durée)"
"La France insoumise";00:00:55
"Les Ecologistes";00:00:33
"LES REPUBLICAINS";00:02:48
"PARTI COMMUNISTE";00:00:22
"PARTI SOCIALISTE";00:01:13
"Rassemblement national";00:01:39
Reconquête;00:00:28
"Total des temps de parole";00:07:58

"Président de la République";"Total période (durée)"
"Temps de parole";00:00:55
