
Elections législatives 2024
Période du 11 au 16 juin 2024
Temps de parole sur France3

"Partis politiques";"Total période (durée)"
"La France insoumise";00:20:22
"Les Ecologistes";00:00:27
"Les Républicains";00:00:20
"Parti communiste français";00:00:09
"Parti socialiste";00:00:16
"Rassemblement national";00:17:38
"Total des temps de parole";00:39:12

