Listes candidates,Total période (durée),Nom du media,Type de media,Durée en seconde,Durée en minute,Temps total,Couleur,Taux temps de parole,Durée en heure
CHANGER L?EUROPE,00:09:28,franceinfo_,TV info continue,568,9.466666666666667,128677,Sociaux Democrate,0.44141532674837,0.15777777777777777
DEFENDRE LES ENFANTS,00:01:02,franceinfo_,TV info continue,62,1.0333333333333334,128677,Autres,0.048182658905631934,0.017222222222222222
DEMOCRATIE REPRESENTATIVE,00:00:22,franceinfo_,TV info continue,22,0.36666666666666664,128677,Autres,0.017097072514901654,0.006111111111111111
ÉCOLOGIE AU CENTRE,00:01:09,franceinfo_,TV info continue,69,1.15,128677,Ecologiste et Regionaliste,0.053622636524009726,0.019166666666666665
ECOLOGIE POSITIVE ET TERRITOIRES,00:00:56,franceinfo_,TV info continue,56,0.9333333333333333,128677,Ecologiste et Regionaliste,0.04351982094702239,0.015555555555555555
ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE,00:00:27,franceinfo_,TV info continue,27,0.45,128677,Ecologiste et Regionaliste,0.02098277081374294,0.0075
ESPERANTO LANGUE COMMUNE,00:00:20,franceinfo_,TV info continue,20,0.3333333333333333,128677,Autres,0.015542793195365138,0.005555555555555556
EUROPE ECOLOGIE,03:12:39,franceinfo_,TV info continue,11559,192.65,128677,Ecologiste et Regionaliste,8.982957327261282,3.2108333333333334
EUROPE EQUITABLE,00:06:47,franceinfo_,TV info continue,407,6.783333333333333,128677,Centriste et Liberaux,0.3162958415256806,0.11305555555555556
EUROPE TERRITOIRES ÉCOLOGIE,00:36:39,franceinfo_,TV info continue,2199,36.65,128677,Sociaux Democrate,1.7089301118303972,0.6108333333333333
FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE,00:01:10,franceinfo_,TV info continue,70,1.1666666666666667,128677,Extreme droite - Divers,0.05439977618377799,0.019444444444444445
FRANCE LIBRE,00:01:05,franceinfo_,TV info continue,65,1.0833333333333333,128677,Extreme droite - Divers,0.0505140778849367,0.018055555555555554
FREE PALESTINE,00:00:11,franceinfo_,TV info continue,11,0.18333333333333332,128677,Autres,0.008548536257450827,0.0030555555555555557
GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL,01:44:53,franceinfo_,TV info continue,6293,104.88333333333334,128677,gauche radicale,4.890539878921641,1.7480555555555555
LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,03:23:50,franceinfo_,TV info continue,12230,203.83333333333334,128677,Les conservateurs,9.504418038965783,3.397222222222222
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",01:43:25,franceinfo_,TV info continue,6205,103.41666666666667,128677,Extreme droite - Divers,4.8221515888620345,1.7236111111111112
LA FRANCE INSOUMISE - UNION POPULAIRE,03:23:20,franceinfo_,TV info continue,12200,203.33333333333334,128677,gauche radicale,9.481103849172735,3.388888888888889
LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN,06:18:34,franceinfo_,TV info continue,22714,378.56666666666666,128677,Extreme droite - Divers,17.651950231976187,6.309444444444445
LA RUCHE CITOYENNE,00:02:53,franceinfo_,TV info continue,173,2.8833333333333333,128677,Autres,0.13444516113990845,0.04805555555555555
LIBERTE DEMOCRATIQUE FRANCAISE,00:01:55,franceinfo_,TV info continue,115,1.9166666666666667,128677,Autres,0.08937106087334955,0.03194444444444444
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX",00:09:09,franceinfo_,TV info continue,549,9.15,128677,Autres,0.4266496732127731,0.1525
LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS,00:25:11,franceinfo_,TV info continue,1511,25.183333333333334,128677,gauche radicale,1.1742580259098363,0.4197222222222222
L?EUROPE ÇA SUFFIT!,00:29:56,franceinfo_,TV info continue,1796,29.933333333333334,128677,Extreme droite - Divers,1.3957428289437894,0.4988888888888889
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL",00:01:47,franceinfo_,TV info continue,107,1.7833333333333334,128677,gauche radicale,0.08315394359520349,0.029722222222222223
NON! PRENONS-NOUS EN MAINS,00:01:51,franceinfo_,TV info continue,111,1.85,128677,Extreme droite - Divers,0.08626250223427652,0.030833333333333334
NOUS LE PEUPLE,00:00:29,franceinfo_,TV info continue,29,0.48333333333333334,128677,Autres,0.022537050133279453,0.008055555555555555
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!",00:01:08,franceinfo_,TV info continue,68,1.1333333333333333,128677,Sociaux Democrate,0.05284549686424147,0.01888888888888889
PAIX ET DECROISSANCE,00:03:37,franceinfo_,TV info continue,217,3.6166666666666667,128677,Autres,0.16863930616971176,0.06027777777777778
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI",00:29:18,franceinfo_,TV info continue,1758,29.3,128677,Autres,1.3662115218725956,0.48833333333333334
PARTI PIRATE,00:01:39,franceinfo_,TV info continue,99,1.65,128677,Autres,0.07693682631705744,0.0275
PARTI REVOLUTIONNAIRE COMMUNISTES,00:01:39,franceinfo_,TV info continue,99,1.65,128677,gauche radicale,0.07693682631705744,0.0275
"POUR LE PAIN, LA PAIX, LA LIBERTE!ğ PRESENTEE PAR LE PARTI DES TRAVAILLEURS",00:01:20,franceinfo_,TV info continue,80,1.3333333333333333,128677,gauche radicale,0.06217117278146055,0.022222222222222223
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!",00:00:43,franceinfo_,TV info continue,43,0.7166666666666667,128677,gauche radicale,0.03341700537003505,0.011944444444444445
POUR UNE AUTRE EUROPE,00:01:34,franceinfo_,TV info continue,94,1.5666666666666667,128677,Autres,0.07305112801821616,0.026111111111111113
POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!,00:02:22,franceinfo_,TV info continue,142,2.3666666666666667,128677,Autres,0.1103538316870925,0.03944444444444444
POUR UNE HUMANITE SOUVERAINE,00:00:21,franceinfo_,TV info continue,21,0.35,128677,Autres,0.016319932855133397,0.005833333333333334
REVEILLER L?EUROPE,04:31:27,franceinfo_,TV info continue,16287,271.45,128677,Sociaux Democrate,12.6572736386456,4.524166666666667
temps_president,02:39:27,franceinfo_,TV info continue,9567,159.45,128677,Macron parle,7.434895125002915,2.6575
